Querter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2020,ABR,Aberdeen Regional,Aberdeen,SD,356.45,425.81, 991 
2,2020,BQK,Brunswick Golden Isles,Brunswick,GA,333.08,397.88, 984 
2,2020,FLO,Florence Regional,Florence,SC,297.32,355.16, 970 
2,2020,CIU,Chippewa County International,Sault Ste. Marie,MI,401.42,479.52, 958 
2,2020,HOB,Lea County Regional,Hobbs,NM,376.88,450.21, 933 
2,2020,RHI,Rhinelander/Oneida County,Rhinelander,WI,374.68,447.58, 926 
2,2020,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,398.96,476.58, 907 
2,2020,IMT,Ford,Iron Mountain/Kingsfd,MI,297.81,355.75, 883 
2,2020,SPN,Francisco C. Ada Saipan International,Saipan,TT,874.50,1044.64, 879 
2,2020,HYA,Cape Cod Gateway,Hyannis,MA,282.50,337.46, 875 
2,2020,EAT,Pangborn Memorial,Wenatchee,WA,296.68,354.40, 871 
2,2020,ALW,Walla Walla Regional,Walla Walla,WA,309.91,370.21, 836 
2,2020,EAU,Chippewa Valley Regional,Eau Claire,WI,380.45,454.47, 826 
2,2020,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,356.91,426.36, 826 
2,2020,PQI,Presque Isle International,Presque Isle/Houlton,ME,423.74,506.18, 823 
2,2020,AKN,King Salmon Airport,King Salmon,AK,485.61,580.09, 807 
2,2020,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,354.33,423.27, 792 
2,2020,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,299.82,358.15, 757 
2,2020,PSG,Petersburg James A Johnson,Petersburg,AK,381.71,455.98, 733 
2,2020,DBQ,Dubuque Regional,Dubuque,IA,237.93,284.22, 718 
2,2020,CMX,Houghton County Memorial,Hancock/Houghton,MI,423.63,506.06, 710 
2,2020,RKS,Southwest Wyoming Regional,Rock Springs,WY,464.73,555.15, 682 
2,2020,PIH,Pocatello Regional,Pocatello,ID,412.73,493.03, 675 
2,2020,LAR,Laramie Regional,Laramie,WY,380.64,454.70, 664 
2,2020,BRD,Brainerd Lakes Regional,Brainerd,MN,355.18,424.28, 657 
2,2020,RIW,Central Wyoming Regional,Riverton/Lander,WY,476.35,569.03, 651 
2,2020,BTM,Bert Mooney,Butte,MT,418.79,500.27, 637 
2,2020,ESC,Delta County,Escanaba,MI,304.55,363.80, 633 
2,2020,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,90.72,108.37, 608 
2,2020,HIB,Range Regional,Hibbing,MN,392.98,469.43, 586 
2,2020,EAR,Kearney Regional,Kearney,NE,409.06,488.64, 576 
2,2020,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,439.15,524.59, 563 
